"","grid_range","z"
"889","grid889",16.814
"890","grid890",15.048
"891","grid891",16.947
"892","grid892",16.951
"893","grid893",16.895
"894","grid894",16.878
"895","grid895",16.916
"896","grid896",16.559
"897","grid897",16.435
"898","grid898",16.62
"899","grid899",16.71
"900","grid900",16.523
"901","grid901",16.348
"902","grid902",16.114
"903","grid903",16.166
"904","grid904",16.235
"905","grid905",16.157
"906","grid906",16.263
"907","grid907",16.53
"908","grid908",15.928
"909","grid909",16.022
"910","grid910",15.982
"911","grid911",16.319
"912","grid912",16.975
"913","grid913",16.892
"914","grid914",16.674
"915","grid915",16.689
"916","grid916",16.63
"917","grid917",16.656
"918","grid918",16.806
"919","grid919",16.872
"920","grid920",16.56
"921","grid921",16.71
"922","grid922",16.203
"923","grid923",16.161
"924","grid924",16.13
"925","grid925",16.349
"926","grid926",16.787
"927","grid927",16.717
"928","grid928",16.439
"929","grid929",16.044
"930","grid930",16.64
"931","grid931",16.49
"932","grid932",16.45
"933","grid933",16.264
"934","grid934",16.366
"935","grid935",16.179
"936","grid936",16.409
"937","grid937",16.658
"938","grid938",16.706
"939","grid939",16.583
"940","grid940",15.897
"941","grid941",16.841
"942","grid942",16.047
"943","grid943",16.166
"944","grid944",16.388
"945","grid945",16.511
"946","grid946",15.312
"947","grid947",16.089
"948","grid948",16.653
"949","grid949",16.587
"950","grid950",16.557
"951","grid951",16.711
"952","grid952",16.678
"953","grid953",15.257
"954","grid954",16.056
"955","grid955",17.097
"956","grid956",17.153
"957","grid957",17.096
"958","grid958",17.018
"959","grid959",16.666
"960","grid960",16.746
"961","grid961",16.946
"962","grid962",16.599
"963","grid963",16.72
"964","grid964",16.824
"965","grid965",16.069
"966","grid966",16.467
"967","grid967",16.201
"968","grid968",16.617
"969","grid969",16.516
"970","grid970",16.326
"971","grid971",16.792
"972","grid972",16.558
"973","grid973",16.497
"974","grid974",16.388
"975","grid975",16.159
"976","grid976",16.076
"977","grid977",16.395
"978","grid978",16.523
"979","grid979",16.689
"980","grid980",16.863
"981","grid981",16.576
"982","grid982",16.056
"983","grid983",16.709
"984","grid984",16.079
"985","grid985",16.13
"986","grid986",16.192
"987","grid987",16.25
"988","grid988",16.416
"989","grid989",16.673
"990","grid990",16.816
"991","grid991",16.689
"992","grid992",16.648
"993","grid993",16.872
"994","grid994",16.752
"995","grid995",16.833
"996","grid996",16.95
"997","grid997",16.89
"998","grid998",16.929
"999","grid999",16.96
"1000","grid1000",16.93
"1001","grid1001",16.642
"1002","grid1002",16.779
"1003","grid1003",16.876
"1004","grid1004",16.933
"1005","grid1005",16.681
"1006","grid1006",16.916
"1007","grid1007",16.524
"1008","grid1008",16.307
"1009","grid1009",16.147
"1010","grid1010",16.441
"1011","grid1011",16.625
"1012","grid1012",16.895
"1013","grid1013",16.738
"1014","grid1014",16.96
"1015","grid1015",16.481
"1016","grid1016",15.47
"1017","grid1017",15.961
"1018","grid1018",15.951
"1019","grid1019",16.353
"1020","grid1020",16.647
"1021","grid1021",16.731
"1022","grid1022",17.059
"1023","grid1023",16.122
"1024","grid1024",16.48
"1025","grid1025",16.447
"1026","grid1026",16.283
"1027","grid1027",15.94
"1028","grid1028",15.887
"1029","grid1029",16.701
"1030","grid1030",16.914
"1031","grid1031",16.933
"1032","grid1032",16.417
"1033","grid1033",16.721
"1034","grid1034",17.169
"1035","grid1035",17.148
"1036","grid1036",17.206
"1037","grid1037",16.97
"1038","grid1038",16.415
"1039","grid1039",16.493
"1040","grid1040",16.198
"1041","grid1041",16.811
"1042","grid1042",16.873
"1043","grid1043",16.363
"1044","grid1044",14.729
"1045","grid1045",16.831
"1046","grid1046",16.916
"1047","grid1047",16.931
"1048","grid1048",16.341
"1049","grid1049",16.669
"1050","grid1050",16.35
"1051","grid1051",16.373
"1052","grid1052",17.132
"1053","grid1053",16.984
"1054","grid1054",16.069
"1055","grid1055",17.111
"1056","grid1056",16.81
"1057","grid1057",17.098
"1058","grid1058",16.703
"1059","grid1059",16.005
"1060","grid1060",16.348
"1061","grid1061",16.496
"1062","grid1062",16.747
